Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED,Event Name,Year
29,2614,10.00,100.00,260.00,110.00,237.00,5-4-0,0,9,Palmetto Regional,2014
30,4823,10.00,90.00,276.00,60.00,153.00,5-4-0,0,9,Palmetto Regional,2014
31,4074,10.00,80.00,247.00,30.00,166.00,5-4-0,0,9,Palmetto Regional,2014
32,5337,10.00,70.00,150.00,50.00,169.00,5-4-0,0,9,Palmetto Regional,2014
33,4452,8.00,230.00,235.00,110.00,190.00,4-5-0,0,9,Palmetto Regional,2014
34,5317,8.00,160.00,222.00,100.00,210.00,4-5-0,0,9,Palmetto Regional,2014
35,4267,8.00,130.00,195.00,140.00,198.00,4-5-0,0,9,Palmetto Regional,2014
36,3571,8.00,110.00,245.00,120.00,286.00,4-5-0,0,9,Palmetto Regional,2014
37,1648,8.00,100.00,246.00,90.00,183.00,4-5-0,0,9,Palmetto Regional,2014
38,4083,8.00,80.00,220.00,110.00,172.00,4-5-0,0,9,Palmetto Regional,2014
39,4243,8.00,70.00,179.00,40.00,194.00,4-5-0,0,9,Palmetto Regional,2014
40,342,8.00,50.00,225.00,60.00,140.00,4-5-0,0,9,Palmetto Regional,2014
41,3489,8.00,50.00,188.00,40.00,289.00,4-5-0,0,9,Palmetto Regional,2014
42,4505,8.00,50.00,166.00,60.00,286.00,4-5-0,0,9,Palmetto Regional,2014
43,4489,8.00,40.00,155.00,30.00,229.00,4-4-0,1,9,Palmetto Regional,2014
44,4533,7.00,70.00,320.00,60.00,125.00,3-5-1,0,9,Palmetto Regional,2014
45,5020,7.00,70.00,96.00,20.00,100.00,3-5-1,0,9,Palmetto Regional,2014
46,1311,7.00,50.00,202.00,70.00,131.00,3-5-1,0,9,Palmetto Regional,2014
47,5063,6.00,170.00,226.00,40.00,37.00,3-6-0,0,9,Palmetto Regional,2014
48,4901,6.00,130.00,235.00,140.00,145.00,3-6-0,0,9,Palmetto Regional,2014
49,1293,6.00,130.00,230.00,40.00,139.00,3-6-0,0,9,Palmetto Regional,2014
50,2974,6.00,120.00,201.00,180.00,283.00,3-6-0,0,9,Palmetto Regional,2014
51,3459,6.00,110.00,160.00,90.00,241.00,3-6-0,0,9,Palmetto Regional,2014
52,4075,6.00,100.00,206.00,40.00,153.00,3-6-0,0,9,Palmetto Regional,2014
53,4451,6.00,100.00,191.00,80.00,375.00,3-6-0,0,9,Palmetto Regional,2014
54,5180,6.00,20.00,195.00,70.00,178.00,3-6-0,0,9,Palmetto Regional,2014
55,4902,5.00,200.00,171.00,50.00,44.00,2-6-1,0,9,Palmetto Regional,2014
56,3196,5.00,90.00,211.00,40.00,168.00,2-6-1,0,9,Palmetto Regional,2014
57,4935,4.00,190.00,175.00,20.00,126.00,2-7-0,0,9,Palmetto Regional,2014
58,3140,4.00,130.00,196.00,40.00,85.00,2-7-0,0,9,Palmetto Regional,2014
59,2815,4.00,120.00,246.00,70.00,36.00,2-7-0,0,9,Palmetto Regional,2014
60,4468,4.00,110.00,112.00,50.00,191.00,2-6-0,1,9,Palmetto Regional,2014
61,4847,4.00,80.00,142.00,80.00,135.00,2-7-0,0,9,Palmetto Regional,2014
62,4516,4.00,70.00,140.00,60.00,127.00,2-6-0,1,9,Palmetto Regional,2014
63,4965,4.00,40.00,185.00,100.00,235.00,2-7-0,0,9,Palmetto Regional,2014
64,1398,4.00,40.00,125.00,50.00,119.00,2-5-0,2,9,Palmetto Regional,2014
65,4748,4.00,40.00,75.00,40.00,163.00,2-6-0,1,9,Palmetto Regional,2014
66,3976,4.00,20.00,173.00,0,232.00,2-7-0,0,9,Palmetto Regional,2014
67,5130,2.00,30.00,205.00,110.00,148.00,1-8-0,0,9,Palmetto Regional,2014
1,624,20.00,350.00,460.00,50.00,541.00,10-0-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
2,118,20.00,240.00,301.00,110.00,514.00,10-0-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
3,2468,18.00,170.00,205.00,160.00,454.00,9-1-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
4,3103,16.00,130.00,235.00,80.00,147.00,8-2-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
5,3614,16.00,80.00,212.00,20.00,298.00,8-2-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
6,3305,16.00,60.00,241.00,0,193.00,8-2-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
7,148,14.00,180.00,410.00,130.00,225.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
8,3999,14.00,180.00,208.00,30.00,226.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
9,2881,14.00,120.00,207.00,50.00,394.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
10,2190,14.00,110.00,336.00,50.00,288.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
11,3337,14.00,110.00,231.00,60.00,342.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
12,2158,14.00,70.00,241.00,40.00,334.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
13,4412,14.00,60.00,237.00,40.00,289.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
14,457,14.00,60.00,195.00,100.00,337.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
15,3481,14.00,20.00,190.00,80.00,360.00,7-3-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
16,5052,12.00,180.00,221.00,10.00,185.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
17,3335,12.00,130.00,351.00,60.00,279.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
18,190,12.00,120.00,282.00,100.00,224.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
19,3320,12.00,100.00,237.00,40.00,152.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
20,704,12.00,90.00,316.00,50.00,269.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
21,2969,12.00,50.00,235.00,40.00,339.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
22,2386,12.00,50.00,155.00,100.00,297.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
23,3561,12.00,50.00,135.00,30.00,411.00,6-4-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
24,4696,10.00,110.00,190.00,30.00,198.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
25,3700,10.00,90.00,186.00,40.00,224.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
26,422,10.00,90.00,181.00,80.00,180.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
27,231,10.00,80.00,235.00,140.00,160.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
28,3679,10.00,80.00,196.00,50.00,194.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
29,3743,10.00,70.00,170.00,60.00,227.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
30,2936,10.00,50.00,170.00,60.00,184.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
31,3029,10.00,50.00,136.00,10.00,163.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
32,4063,10.00,40.00,206.00,30.00,249.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
33,4597,10.00,40.00,165.00,20.00,236.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
34,57,10.00,20.00,150.00,0,241.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
35,2966,10.00,10.00,186.00,0,268.00,5-5-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
36,4219,8.00,120.00,206.00,70.00,302.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
37,2721,8.00,70.00,186.00,40.00,203.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
38,2789,8.00,60.00,130.00,70.00,164.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
39,653,8.00,60.00,70.00,10.00,263.00,4-5-0,1,10,Alamo Regional sponsored by Rackspace Hosting,2014
40,5103,8.00,50.00,201.00,20.00,243.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
41,3240,8.00,50.00,120.00,60.00,168.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
42,3802,8.00,40.00,170.00,10.00,127.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
43,441,8.00,30.00,135.00,70.00,219.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
44,4378,8.00,30.00,101.00,10.00,152.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
45,1255,8.00,20.00,105.00,40.00,249.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
46,4747,8.00,0,130.00,30.00,388.00,4-6-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
47,3008,6.00,130.00,176.00,0,279.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
48,4610,6.00,100.00,180.00,60.00,167.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
49,3080,6.00,90.00,165.00,40.00,129.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
50,2833,6.00,50.00,180.00,30.00,197.00,3-6-0,1,10,Alamo Regional sponsored by Rackspace Hosting,2014
51,4332,6.00,50.00,146.00,30.00,40.00,3-5-0,2,10,Alamo Regional sponsored by Rackspace Hosting,2014
52,3037,6.00,40.00,200.00,20.00,154.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
53,3345,6.00,40.00,161.00,50.00,219.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
54,3366,6.00,30.00,217.00,40.00,82.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
55,4981,6.00,30.00,195.00,0,238.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
56,499,6.00,30.00,171.00,20.00,162.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
57,5241,6.00,30.00,160.00,20.00,266.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
58,2982,6.00,30.00,110.00,60.00,273.00,3-6-0,1,10,Alamo Regional sponsored by Rackspace Hosting,2014
59,2805,6.00,20.00,220.00,10.00,337.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
60,3035,6.00,20.00,142.00,80.00,246.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
61,2985,6.00,10.00,100.00,0,182.00,3-7-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
62,1642,4.00,40.00,111.00,10.00,258.00,2-8-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
63,2952,4.00,20.00,85.00,20.00,123.00,2-8-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
64,4670,2.00,20.00,116.00,60.00,200.00,1-9-0,0,10,Alamo Regional sponsored by Rackspace Hosting,2014
1,1310,18.00,170.00,335.00,210.00,585.00,9-1-0,0,10,Greater Toronto West Regional,2014
2,610,16.00,230.00,480.00,250.00,589.00,8-3-0,0,11,Greater Toronto West Regional,2014
3,1241,16.00,200.00,345.00,300.00,661.00,8-2-0,0,10,Greater Toronto West Regional,2014
4,2935,14.00,260.00,337.00,150.00,553.00,7-4-0,0,11,Greater Toronto West Regional,2014
5,2852,14.00,170.00,235.00,120.00,783.00,7-3-0,0,10,Greater Toronto West Regional,2014
6,4946,12.00,160.00,296.00,140.00,322.00,6-4-0,0,10,Greater Toronto West Regional,2014
7,746,12.00,110.00,181.00,20.00,495.00,6-4-0,0,10,Greater Toronto West Regional,2014
8,4951,12.00,90.00,261.00,100.00,564.00,6-4-0,0,10,Greater Toronto West Regional,2014
9,4343,12.00,90.00,256.00,140.00,457.00,6-5-0,0,11,Greater Toronto West Regional,2014
10,865,12.00,80.00,208.00,120.00,499.00,6-4-0,0,10,Greater Toronto West Regional,2014
11,4250,10.00,210.00,236.00,50.00,232.00,5-6-0,0,11,Greater Toronto West Regional,2014
12,4308,10.00,140.00,222.00,90.00,379.00,5-5-0,0,10,Greater Toronto West Regional,2014
13,907,10.00,110.00,215.00,70.00,478.00,5-5-0,0,10,Greater Toronto West Regional,2014
14,3560,10.00,110.00,205.00,100.00,454.00,5-5-0,0,10,Greater Toronto West Regional,2014
15,772,10.00,100.00,270.00,100.00,545.00,5-5-0,0,10,Greater Toronto West Regional,2014
16,5091,10.00,100.00,202.00,80.00,349.00,5-5-0,0,10,Greater Toronto West Regional,2014
17,1815,10.00,90.00,365.00,140.00,660.00,5-5-0,0,10,Greater Toronto West Regional,2014
18,4716,10.00,90.00,213.00,90.00,483.00,5-5-0,0,10,Greater Toronto West Regional,2014
19,4939,8.00,160.00,230.00,80.00,202.00,4-6-0,0,10,Greater Toronto West Regional,2014
20,188,8.00,120.00,245.00,110.00,441.00,4-6-0,0,10,Greater Toronto West Regional,2014
21,4914,8.00,110.00,351.00,100.00,592.00,4-6-0,0,10,Greater Toronto West Regional,2014
22,4001,8.00,110.00,316.00,40.00,431.00,4-6-0,0,10,Greater Toronto West Regional,2014
23,2185,8.00,100.00,232.00,50.00,564.00,4-7-0,0,11,Greater Toronto West Regional,2014
24,5094,8.00,90.00,247.00,60.00,326.00,4-7-0,0,11,Greater Toronto West Regional,2014
25,3705,8.00,80.00,245.00,50.00,401.00,4-6-0,0,10,Greater Toronto West Regional,2014
26,3541,8.00,50.00,221.00,120.00,379.00,4-6-0,0,10,Greater Toronto West Regional,2014
27,886,6.00,130.00,271.00,100.00,380.00,3-7-0,0,10,Greater Toronto West Regional,2014
28,5076,6.00,110.00,185.00,40.00,284.00,3-7-0,0,10,Greater Toronto West Regional,2014
29,5092,6.00,80.00,167.00,70.00,284.00,3-7-0,0,10,Greater Toronto West Regional,2014
30,2634,6.00,10.00,147.00,30.00,548.00,3-7-0,0,10,Greater Toronto West Regional,2014
1,1678,26.00,280.00,502.00,280.00,419.00,13-0-0,0,13,Inland Empire Regional,2014
2,399,22.00,370.00,341.00,190.00,431.00,11-2-0,0,13,Inland Empire Regional,2014
3,294,22.00,180.00,466.00,160.00,465.00,11-2-0,0,13,Inland Empire Regional,2014
4,599,18.00,290.00,300.00,150.00,374.00,9-4-0,0,13,Inland Empire Regional,2014
5,701,18.00,170.00,371.00,180.00,327.00,9-4-0,0,13,Inland Empire Regional,2014
6,2493,18.00,100.00,311.00,90.00,245.00,9-4-0,0,13,Inland Empire Regional,2014
7,2339,18.00,100.00,293.00,90.00,357.00,9-4-0,0,13,Inland Empire Regional,2014
8,1828,16.00,250.00,478.00,90.00,418.00,8-5-0,0,13,Inland Empire Regional,2014
9,2375,16.00,250.00,265.00,70.00,330.00,8-5-0,0,13,Inland Empire Regional,2014
10,4201,16.00,210.00,341.00,90.00,284.00,8-5-0,0,13,Inland Empire Regional,2014
11,4705,16.00,140.00,301.00,150.00,309.00,8-5-0,0,13,Inland Empire Regional,2014
12,2659,16.00,120.00,330.00,70.00,231.00,8-5-0,0,13,Inland Empire Regional,2014
13,597,16.00,120.00,276.00,80.00,307.00,8-5-0,0,13,Inland Empire Regional,2014
14,4574,14.00,300.00,308.00,60.00,170.00,7-6-0,0,13,Inland Empire Regional,2014
15,4499,14.00,250.00,366.00,60.00,171.00,7-6-0,0,13,Inland Empire Regional,2014
16,3473,14.00,220.00,336.00,60.00,374.00,7-6-0,0,13,Inland Empire Regional,2014
17,980,14.00,180.00,413.00,90.00,227.00,7-6-0,0,13,Inland Empire Regional,2014
18,4114,14.00,170.00,216.00,20.00,429.00,7-6-0,0,13,Inland Empire Regional,2014
19,1967,14.00,150.00,412.00,120.00,278.00,7-6-0,0,13,Inland Empire Regional,2014
20,5012,14.00,80.00,302.00,80.00,335.00,7-6-0,0,13,Inland Empire Regional,2014
21,4322,12.00,320.00,401.00,60.00,238.00,6-7-0,0,13,Inland Empire Regional,2014
22,4161,12.00,110.00,391.00,60.00,272.00,6-7-0,0,13,Inland Empire Regional,2014
23,5121,12.00,110.00,257.00,100.00,108.00,6-7-0,0,13,Inland Empire Regional,2014
24,1160,12.00,90.00,246.00,40.00,233.00,6-7-0,0,13,Inland Empire Regional,2014
25,2839,12.00,80.00,284.00,120.00,273.00,6-7-0,0,13,Inland Empire Regional,2014
26,2496,12.00,70.00,271.00,60.00,165.00,6-7-0,0,13,Inland Empire Regional,2014
27,4139,12.00,70.00,235.00,80.00,225.00,6-7-0,0,13,Inland Empire Regional,2014
28,3470,10.00,220.00,333.00,80.00,232.00,5-8-0,0,13,Inland Empire Regional,2014
29,3925,10.00,200.00,267.00,100.00,281.00,5-8-0,0,13,Inland Empire Regional,2014
30,4413,10.00,170.00,267.00,130.00,208.00,5-8-0,0,13,Inland Empire Regional,2014
31,5107,10.00,150.00,256.00,50.00,192.00,5-8-0,0,13,Inland Empire Regional,2014
32,3521,10.00,90.00,226.00,100.00,264.00,5-7-0,1,13,Inland Empire Regional,2014
33,2429,10.00,70.00,316.00,90.00,180.00,5-8-0,0,13,Inland Empire Regional,2014
34,4140,8.00,100.00,288.00,60.00,384.00,4-9-0,0,13,Inland Empire Regional,2014
35,4056,6.00,110.00,223.00,50.00,244.00,3-10-0,0,13,Inland Empire Regional,2014
36,5100,6.00,100.00,230.00,30.00,144.00,3-10-0,0,13,Inland Empire Regional,2014
37,4144,6.00,40.00,246.00,90.00,245.00,3-10-0,0,13,Inland Empire Regional,2014
38,4556,6.00,30.00,206.00,80.00,283.00,3-10-0,0,13,Inland Empire Regional,2014
39,2984,4.00,90.00,215.00,80.00,167.00,2-11-0,0,13,Inland Empire Regional,2014
40,3295,4.00,50.00,221.00,20.00,296.00,2-11-0,0,13,Inland Empire Regional,2014
1,3316,18.00,180.00,315.00,110.00,245.00,9-1-0,0,10,Israel Regional,2014
2,3211,16.00,100.00,350.00,100.00,266.00,8-2-0,0,10,Israel Regional,2014
3,2231,14.00,80.00,217.00,70.00,190.00,7-3-0,0,10,Israel Regional,2014
4,2630,14.00,70.00,270.00,50.00,142.00,7-3-0,0,10,Israel Regional,2014
5,1937,14.00,70.00,255.00,70.00,221.00,7-3-0,0,10,Israel Regional,2014
6,2679,14.00,70.00,231.00,90.00,327.00,7-3-0,0,10,Israel Regional,2014
7,1946,14.00,50.00,236.00,80.00,290.00,7-3-0,0,10,Israel Regional,2014
8,4649,14.00,30.00,226.00,40.00,309.00,7-3-0,0,10,Israel Regional,2014
9,1577,12.00,100.00,351.00,140.00,208.00,6-4-0,0,10,Israel Regional,2014
10,4586,12.00,80.00,320.00,80.00,237.00,6-4-0,0,10,Israel Regional,2014
11,1836,12.00,80.00,245.00,70.00,212.00,6-4-0,0,10,Israel Regional,2014
12,4744,12.00,80.00,192.00,60.00,234.00,6-4-0,0,10,Israel Regional,2014
13,4724,12.00,70.00,195.00,50.00,92.00,6-4-0,0,10,Israel Regional,2014
14,4406,12.00,50.00,195.00,60.00,298.00,6-4-0,0,10,Israel Regional,2014
15,5135,12.00,50.00,185.00,70.00,169.00,6-4-0,0,10,Israel Regional,2014
16,4320,12.00,40.00,306.00,70.00,369.00,6-4-0,0,10,Israel Regional,2014
17,2212,12.00,30.00,230.00,60.00,202.00,6-4-0,0,10,Israel Regional,2014
18,3339,12.00,20.00,306.00,150.00,323.00,6-4-0,0,10,Israel Regional,2014
19,1952,12.00,0,212.00,20.00,318.00,6-4-0,0,10,Israel Regional,2014
20,5038,10.00,140.00,306.00,110.00,172.00,5-5-0,0,10,Israel Regional,2014
21,1954,10.00,90.00,145.00,70.00,185.00,5-5-0,0,10,Israel Regional,2014
22,5291,10.00,80.00,161.00,100.00,228.00,5-5-0,0,10,Israel Regional,2014
23,3388,10.00,50.00,230.00,100.00,213.00,5-5-0,0,10,Israel Regional,2014
24,3034,10.00,50.00,175.00,30.00,290.00,5-5-0,0,10,Israel Regional,2014
25,1574,10.00,40.00,245.00,130.00,363.00,5-5-0,0,10,Israel Regional,2014
26,4708,10.00,40.00,140.00,50.00,222.00,5-5-0,0,10,Israel Regional,2014
27,1573,10.00,30.00,220.00,60.00,256.00,5-5-0,0,10,Israel Regional,2014
28,3075,10.00,30.00,220.00,40.00,175.00,5-5-0,0,10,Israel Regional,2014
29,4661,10.00,30.00,151.00,60.00,193.00,5-5-0,0,10,Israel Regional,2014
30,1944,10.00,20.00,286.00,80.00,213.00,5-5-0,0,10,Israel Regional,2014
31,2230,10.00,20.00,226.00,30.00,262.00,5-5-0,0,10,Israel Regional,2014
32,2216,10.00,20.00,136.00,30.00,376.00,5-5-0,0,10,Israel Regional,2014
33,1942,10.00,10.00,336.00,40.00,98.00,5-5-0,0,10,Israel Regional,2014
34,4590,8.00,70.00,252.00,80.00,268.00,4-6-0,0,10,Israel Regional,2014
35,4338,8.00,60.00,190.00,60.00,69.00,4-5-0,1,10,Israel Regional,2014
